threshold,recall,specificity,precision,negative_predictive_value,f1,accuracy,tn,fp,fn,tp
0.21,0.976878612716763,0.5072463768115942,0.8325123152709359,0.8974358974358975,0.898936170212766,0.8429752066115702,35,34,4,169
0.22,0.976878612716763,0.5217391304347826,0.8366336633663366,0.9,0.9013333333333333,0.8471074380165289,36,33,4,169
0.23,0.976878612716763,0.5217391304347826,0.8366336633663366,0.9,0.9013333333333333,0.8471074380165289,36,33,4,169
0.24,0.9653179190751445,0.5507246376811594,0.8434343434343434,0.8636363636363636,0.9002695417789758,0.8471074380165289,38,31,6,167
0.25,0.953757225433526,0.5652173913043478,0.8461538461538461,0.8297872340425532,0.8967391304347826,0.8429752066115702,39,30,8,165
0.26,0.953757225433526,0.5797101449275363,0.8505154639175257,0.8333333333333334,0.8991825613079019,0.8471074380165289,40,29,8,165
0.27,0.953757225433526,0.5797101449275363,0.8505154639175257,0.8333333333333334,0.8991825613079019,0.8471074380165289,40,29,8,165
0.28,0.953757225433526,0.5942028985507246,0.8549222797927462,0.8367346938775511,0.9016393442622951,0.8512396694214877,41,28,8,165
0.29,0.953757225433526,0.5942028985507246,0.8549222797927462,0.8367346938775511,0.9016393442622951,0.8512396694214877,41,28,8,165
0.3,0.953757225433526,0.6086956521739131,0.859375,0.84,0.9041095890410958,0.8553719008264463,42,27,8,165
0.31,0.953757225433526,0.6086956521739131,0.859375,0.84,0.9041095890410958,0.8553719008264463,42,27,8,165
0.32,0.9479768786127167,0.6086956521739131,0.8586387434554974,0.8235294117647058,0.9010989010989011,0.8512396694214877,42,27,9,164
0.33,0.9479768786127167,0.6086956521739131,0.8586387434554974,0.8235294117647058,0.9010989010989011,0.8512396694214877,42,27,9,164
0.34,0.9479768786127167,0.6231884057971014,0.8631578947368421,0.8269230769230769,0.9035812672176309,0.8553719008264463,43,26,9,164
0.35,0.9479768786127167,0.6231884057971014,0.8631578947368421,0.8269230769230769,0.9035812672176309,0.8553719008264463,43,26,9,164
0.36,0.9479768786127167,0.6231884057971014,0.8631578947368421,0.8269230769230769,0.9035812672176309,0.8553719008264463,43,26,9,164
0.37,0.9421965317919075,0.6231884057971014,0.8624338624338624,0.8113207547169812,0.9005524861878453,0.8512396694214877,43,26,10,163
0.38,0.9421965317919075,0.6231884057971014,0.8624338624338624,0.8113207547169812,0.9005524861878453,0.8512396694214877,43,26,10,163
0.39,0.9421965317919075,0.6231884057971014,0.8624338624338624,0.8113207547169812,0.9005524861878453,0.8512396694214877,43,26,10,163
0.4,0.9421965317919075,0.6231884057971014,0.8624338624338624,0.8113207547169812,0.9005524861878453,0.8512396694214877,43,26,10,163
0.41,0.9421965317919075,0.6376811594202898,0.8670212765957447,0.8148148148148148,0.9030470914127424,0.8553719008264463,44,25,10,163
0.42,0.9421965317919075,0.6521739130434783,0.8716577540106952,0.8181818181818182,0.9055555555555556,0.859504132231405,45,24,10,163
0.43,0.9421965317919075,0.6521739130434783,0.8716577540106952,0.8181818181818182,0.9055555555555556,0.859504132231405,45,24,10,163
0.44,0.9421965317919075,0.6521739130434783,0.8716577540106952,0.8181818181818182,0.9055555555555556,0.859504132231405,45,24,10,163
0.45,0.9421965317919075,0.6666666666666666,0.8763440860215054,0.8214285714285714,0.9080779944289693,0.8636363636363636,46,23,10,163
0.46,0.9421965317919075,0.6666666666666666,0.8763440860215054,0.8214285714285714,0.9080779944289693,0.8636363636363636,46,23,10,163
0.47,0.9421965317919075,0.6811594202898551,0.8810810810810811,0.8245614035087719,0.9106145251396648,0.8677685950413223,47,22,10,163
0.48,0.9421965317919075,0.6811594202898551,0.8810810810810811,0.8245614035087719,0.9106145251396648,0.8677685950413223,47,22,10,163
0.49,0.9421965317919075,0.6956521739130435,0.8858695652173914,0.8275862068965517,0.9131652661064426,0.871900826446281,48,21,10,163
0.5,0.9421965317919075,0.7101449275362319,0.8907103825136612,0.8305084745762712,0.9157303370786517,0.8760330578512396,49,20,10,163
0.51,0.9421965317919075,0.7101449275362319,0.8907103825136612,0.8305084745762712,0.9157303370786517,0.8760330578512396,49,20,10,163
0.52,0.9421965317919075,0.7246376811594203,0.8956043956043956,0.8333333333333334,0.9183098591549296,0.8801652892561983,50,19,10,163
0.53,0.9364161849710982,0.7391304347826086,0.9,0.8225806451612904,0.9178470254957507,0.8801652892561983,51,18,11,162
0.54,0.930635838150289,0.7536231884057971,0.9044943820224719,0.8125,0.9173789173789174,0.8801652892561983,52,17,12,161
0.55,0.930635838150289,0.7536231884057971,0.9044943820224719,0.8125,0.9173789173789174,0.8801652892561983,52,17,12,161
0.56,0.930635838150289,0.7536231884057971,0.9044943820224719,0.8125,0.9173789173789174,0.8801652892561983,52,17,12,161
0.57,0.930635838150289,0.7536231884057971,0.9044943820224719,0.8125,0.9173789173789174,0.8801652892561983,52,17,12,161
0.58,0.9248554913294798,0.7681159420289855,0.9090909090909091,0.803030303030303,0.9169054441260746,0.8801652892561983,53,16,13,160
0.59,0.9248554913294798,0.7681159420289855,0.9090909090909091,0.803030303030303,0.9169054441260746,0.8801652892561983,53,16,13,160
0.6,0.9248554913294798,0.782608695652174,0.9142857142857143,0.8059701492537313,0.9195402298850575,0.8842975206611571,54,15,13,160
0.61,0.9190751445086706,0.782608695652174,0.9137931034482759,0.7941176470588235,0.9164265129682997,0.8801652892561983,54,15,14,159
0.62,0.9132947976878613,0.782608695652174,0.9132947976878613,0.782608695652174,0.9132947976878613,0.8760330578512396,54,15,15,158
0.63,0.9075144508670521,0.782608695652174,0.9127906976744186,0.7714285714285715,0.9101449275362319,0.871900826446281,54,15,16,157
0.64,0.9017341040462428,0.7971014492753623,0.9176470588235294,0.7638888888888888,0.9096209912536443,0.871900826446281,55,14,17,156
0.65,0.8959537572254336,0.7971014492753623,0.9171597633136095,0.7534246575342466,0.9064327485380117,0.8677685950413223,55,14,18,155
0.66,0.884393063583815,0.7971014492753623,0.9161676646706587,0.7333333333333333,0.9,0.859504132231405,55,14,20,153
0.67,0.8728323699421965,0.8115942028985508,0.9207317073170732,0.717948717948718,0.8961424332344213,0.8553719008264463,56,13,22,151
0.68,0.8728323699421965,0.8115942028985508,0.9207317073170732,0.717948717948718,0.8961424332344213,0.8553719008264463,56,13,22,151
0.69,0.8728323699421965,0.8115942028985508,0.9207317073170732,0.717948717948718,0.8961424332344213,0.8553719008264463,56,13,22,151
0.7,0.8728323699421965,0.8115942028985508,0.9207317073170732,0.717948717948718,0.8961424332344213,0.8553719008264463,56,13,22,151
0.71,0.8670520231213873,0.8115942028985508,0.9202453987730062,0.7088607594936709,0.8928571428571429,0.8512396694214877,56,13,23,150
0.72,0.8670520231213873,0.8260869565217391,0.9259259259259259,0.7125,0.8955223880597015,0.8553719008264463,57,12,23,150
0.73,0.8670520231213873,0.8260869565217391,0.9259259259259259,0.7125,0.8955223880597015,0.8553719008264463,57,12,23,150
0.74,0.8554913294797688,0.8260869565217391,0.925,0.6951219512195121,0.8888888888888888,0.8471074380165289,57,12,25,148
0.75,0.8554913294797688,0.8260869565217391,0.925,0.6951219512195121,0.8888888888888888,0.8471074380165289,57,12,25,148
0.76,0.8497109826589595,0.8260869565217391,0.9245283018867925,0.6867469879518072,0.8855421686746988,0.8429752066115702,57,12,26,147
0.77,0.8497109826589595,0.8405797101449275,0.930379746835443,0.6904761904761905,0.8882175226586103,0.8471074380165289,58,11,26,147
0.78,0.8497109826589595,0.855072463768116,0.9363057324840764,0.6941176470588235,0.8909090909090909,0.8512396694214877,59,10,26,147
0.79,0.8497109826589595,0.855072463768116,0.9363057324840764,0.6941176470588235,0.8909090909090909,0.8512396694214877,59,10,26,147
0.8,0.8497109826589595,0.855072463768116,0.9363057324840764,0.6941176470588235,0.8909090909090909,0.8512396694214877,59,10,26,147
0.81,0.8323699421965318,0.855072463768116,0.935064935064935,0.6704545454545454,0.8807339449541285,0.8388429752066116,59,10,29,144
0.82,0.8323699421965318,0.8695652173913043,0.9411764705882353,0.6741573033707865,0.8834355828220859,0.8429752066115702,60,9,29,144
0.83,0.8208092485549133,0.8840579710144928,0.9466666666666667,0.6630434782608695,0.8792569659442725,0.8388429752066116,61,8,31,142
0.84,0.815028901734104,0.8840579710144928,0.9463087248322147,0.6559139784946236,0.8757763975155279,0.8347107438016529,61,8,32,141
0.85,0.815028901734104,0.8840579710144928,0.9463087248322147,0.6559139784946236,0.8757763975155279,0.8347107438016529,61,8,32,141
0.86,0.7976878612716763,0.9130434782608695,0.9583333333333334,0.6428571428571429,0.8706624605678234,0.8305785123966942,63,6,35,138
0.87,0.7861271676300579,0.927536231884058,0.9645390070921985,0.6336633663366337,0.8662420382165605,0.8264462809917356,64,5,37,136
0.88,0.7861271676300579,0.927536231884058,0.9645390070921985,0.6336633663366337,0.8662420382165605,0.8264462809917356,64,5,37,136
0.89,0.7745664739884393,0.927536231884058,0.9640287769784173,0.6213592233009708,0.8589743589743589,0.8181818181818182,64,5,39,134
0.9,0.7630057803468208,0.927536231884058,0.9635036496350365,0.6095238095238096,0.8516129032258064,0.8099173553719008,64,5,41,132
0.91,0.7514450867052023,0.9420289855072463,0.9701492537313433,0.6018518518518519,0.8469055374592834,0.8057851239669421,65,4,43,130
0.92,0.7398843930635838,0.9420289855072463,0.9696969696969697,0.5909090909090909,0.839344262295082,0.7975206611570248,65,4,45,128
0.93,0.7341040462427746,0.9420289855072463,0.9694656488549618,0.5855855855855856,0.8355263157894737,0.7933884297520661,65,4,46,127
0.94,0.6936416184971098,0.9710144927536232,0.9836065573770492,0.5583333333333333,0.8135593220338984,0.7727272727272727,67,2,53,120
0.95,0.6647398843930635,0.9710144927536232,0.9829059829059829,0.536,0.7931034482758621,0.7520661157024794,67,2,58,115
0.96,0.6416184971098265,0.9855072463768116,0.9910714285714286,0.5230769230769231,0.7789473684210526,0.7396694214876033,68,1,62,111
0.97,0.6184971098265896,0.9855072463768116,0.9907407407407407,0.5074626865671642,0.7615658362989324,0.7231404958677686,68,1,66,107
0.98,0.5838150289017341,0.9855072463768116,0.9901960784313726,0.4857142857142857,0.7345454545454545,0.6983471074380165,68,1,72,101
0.99,0.45664739884393063,0.9855072463768116,0.9875,0.41975308641975306,0.6245059288537549,0.6074380165289256,68,1,94,79
